epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
88,60670.2,1.58485,0.86847,0.00348,0.49717,0.44993,0.42339,0.21983,1.62858,1.27712,0.00384,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,61362.2,1.58489,0.8646,0.00346,0.49709,0.4507,0.42331,0.21988,1.62867,1.27852,0.00383,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,62052,1.58168,0.86471,0.00348,0.49424,0.45114,0.42372,0.22002,1.62927,1.27939,0.00383,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,62743,1.58402,0.85917,0.00345,0.49768,0.44409,0.42401,0.2202,1.62931,1.28043,0.00383,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,63432.5,1.57882,0.86085,0.00347,0.50085,0.4437,0.42378,0.2199,1.62973,1.2811,0.00382,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,64118.3,1.57892,0.85549,0.00346,0.49913,0.44465,0.4239,0.22017,1.63032,1.2815,0.00382,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,64808.8,1.57225,0.85497,0.0034,0.49508,0.44677,0.42435,0.22045,1.63097,1.28194,0.00381,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,65498.2,1.57101,0.85138,0.00342,0.48947,0.44811,0.42465,0.22084,1.63074,1.2833,0.00381,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,66181.7,1.5653,0.84562,0.0034,0.49677,0.44542,0.42511,0.22112,1.63099,1.28411,0.0038,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,66864.9,1.57411,0.85092,0.0034,0.49727,0.4445,0.42536,0.22115,1.63072,1.2861,0.0038,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,67549.2,1.57436,0.84571,0.00343,0.49773,0.44466,0.42553,0.22115,1.6321,1.28492,0.0038,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,68231.1,1.56728,0.84927,0.00343,0.50106,0.44212,0.4254,0.22113,1.63239,1.28697,0.00379,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,68913,1.57597,0.84621,0.00339,0.49918,0.44284,0.42597,0.22115,1.63333,1.28743,0.00379,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
