epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,44218.4,1.82242,1.2268,0.00424,0.5472,0.36522,0.34677,0.18092,1.5008,1.31395,0.00452,0.0216662,0.00722208,0.0216662,0.00722208,0.0216662,0.00722208,0.0216662,0.00722208
77,44886.5,1.81692,1.21357,0.00421,0.54831,0.36454,0.34662,0.18086,1.50124,1.31321,0.00452,0.0214697,0.00715656,0.0214697,0.00715656,0.0214697,0.00715656,0.0214697,0.00715656
78,45557.1,1.81833,1.22051,0.00417,0.5476,0.36562,0.34656,0.18091,1.5023,1.30939,0.0045,0.0212719,0.00709064,0.0212719,0.00709064,0.0212719,0.00709064,0.0212719,0.00709064
79,46224.4,1.81545,1.21961,0.00422,0.5463,0.36588,0.3467,0.18099,1.50219,1.30893,0.0045,0.021073,0.00702432,0.021073,0.00702432,0.021073,0.00702432,0.021073,0.00702432
80,46895.4,1.8203,1.21276,0.00418,0.54649,0.36568,0.34687,0.18097,1.50227,1.30879,0.0045,0.0208729,0.00695763,0.0208729,0.00695763,0.0208729,0.00695763,0.0208729,0.00695763
81,47565.6,1.81645,1.20312,0.0042,0.54722,0.36626,0.34723,0.18115,1.50207,1.30951,0.00451,0.0206717,0.00689058,0.0206717,0.00689058,0.0206717,0.00689058,0.0206717,0.00689058
82,48233.9,1.81059,1.21266,0.0042,0.54859,0.36525,0.34704,0.18103,1.50154,1.31302,0.00451,0.0204695,0.00682318,0.0204695,0.00682318,0.0204695,0.00682318,0.0204695,0.00682318
83,48904.6,1.80375,1.20369,0.0042,0.5477,0.36531,0.34711,0.18119,1.50146,1.31302,0.00451,0.0202664,0.00675546,0.0202664,0.00675546,0.0202664,0.00675546,0.0202664,0.00675546
84,49572.2,1.81325,1.20244,0.0042,0.54673,0.36693,0.34703,0.18117,1.50007,1.31493,0.00451,0.0200623,0.00668743,0.0200623,0.00668743,0.0200623,0.00668743,0.0200623,0.00668743
85,50241.8,1.81013,1.19408,0.00414,0.54621,0.3672,0.34727,0.18122,1.50057,1.31523,0.00451,0.0198573,0.0066191,0.0198573,0.0066191,0.0198573,0.0066191,0.0198573,0.0066191
86,50912.3,1.8087,1.18381,0.00411,0.54483,0.3684,0.34743,0.18135,1.50084,1.31585,0.00451,0.0196515,0.0065505,0.0196515,0.0065505,0.0196515,0.0065505,0.0196515,0.0065505
87,51580,1.80879,1.1895,0.00416,0.54469,0.36913,0.34743,0.18138,1.49984,1.31635,0.00451,0.0194449,0.00648164,0.0194449,0.00648164,0.0194449,0.00648164,0.0194449,0.00648164
88,52249.4,1.80222,1.18379,0.00419,0.54393,0.36839,0.34733,0.18137,1.49986,1.31656,0.0045,0.0192376,0.00641254,0.0192376,0.00641254,0.0192376,0.00641254,0.0192376,0.00641254
89,52923.2,1.80002,1.1715,0.00414,0.5425,0.36969,0.34738,0.18138,1.49913,1.31768,0.00454,0.0190296,0.00634322,0.0190296,0.00634322,0.0190296,0.00634322,0.0190296,0.00634322
90,53593.4,1.80095,1.17285,0.00414,0.56158,0.37068,0.3474,0.18144,1.49889,1.31883,0.00454,0.018821,0.00627368,0.018821,0.00627368,0.018821,0.00627368,0.018821,0.00627368
